movie_id,movie_name,genre,description
tt9114286,Black Panther: Wakanda Forever,thriller,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.
tt15679400,Knock at the Cabin,thriller,"While vacationing, a girl and her parents are taken hostage by armed strangers who demand that the family make a choice to avert the apocalypse."
tt5884796,Plane,thriller,A pilot finds himself caught in a war zone after he's forced to land his commercial aircraft during a terrible storm.
tt9764362,The Menu,thriller,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises."
tt5433140,Fast X,thriller,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.
tt8760708,M3GAN,thriller,A robotics engineer at a toy company builds a life-like doll that begins to take on a life of its own.
tt10954600,Ant-Man and the Wasp: Quantumania,thriller,"Scott Lang and Hope Van Dyne, along with Hank Pym and Janet Van Dyne, explore the Quantum Realm, where they interact with strange creatures and embark on an adventure that goes beyond the limits of what they thought was possible."
tt12593682,Bullet Train,thriller,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.
tt11564570,Glass Onion,thriller,Famed Southern detective Benoit Blanc travels to Greece for his latest case.
tt13051810,Viking Wolf,thriller,"Thale (17) has just moved with her parents to a small town after her mother has a new job in the local police. After a student is killed brutally at a party Thale attends, she becomes a key witness. Was the killer an animal? A wolf?"
tt10365998,Infinity Pool,thriller,"James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa, when a fatal accident exposes the resort's perverse subculture of hedonistic tourism, reckless violence and surreal horrors."
tt17663992,Scream VI,thriller,"In the next installment, the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City."
tt14209916,Cocaine Bear,thriller,"An oddball group of cops, criminals, tourists, and teens converges in a Georgia forest where a 500-pound black bear goes on a murderous rampage after unintentionally ingesting cocaine."
tt14138650,The Pale Blue Eye,thriller,"A world-weary detective is hired to investigate the murder of a West Point cadet. Stymied by the cadets' code of silence, he enlists one of their own to help unravel the case - a young man the world would come to know as Edgar Allan Poe."
tt12844910,Pathaan,thriller,An Indian spy takes on the leader of a group of mercenaries who have nefarious plans to target his homeland.
tt13560574,X,thriller,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives."
tt11687104,"Alice, Darling",thriller,A young woman trapped in an abusive relationship becomes the unwitting participant in an intervention staged by her two closest friends.
tt15486810,Teen Wolf: The Movie,thriller,"A terrifying evil has emerged. The wolves howl once again, but only a Werewolf like Scott McCall, can gather both new allies and reunite trusted friends to fight back against what could be the most powerful and deadliest enemy."
tt13280054,Blood,thriller,"Jess, a separated mother and nurse, moves with her daughter and young son Owen back into her old farmhouse. Shortly after settling in, Owen is bitten by the dog, resulting in a mysterious infection from the bite."
