movie_id,movie_name,genre,description,director,actor1,actor2,actor3
tt5635026,Peter Pan & Wendy,romance,Live-action adaptation of J.M. Barrie's classic tale of a boy who wouldn't grow up and recruits three young siblings in London to join him on a magical adventure to the enchanted Neverland island.,David Lowery,Alexander Molony,Ever Anderson,Joshua Pickering
tt3915174,Puss in Boots: The Last Wish,romance,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.","Joel Crawford, 
Januel Mercado",Antonio Banderas,Salma Hayek,Harvey Guillén
tt12823454,Your Place or Mine,romance,Two long-distance best friends change each other's lives when she decides to pursue a lifelong dream and he volunteers to keep an eye on her teenage son.,Aline Brosh McKenna,Reese Witherspoon,Ashton Kutcher,Zoe Chao
tt5971474,The Little Mermaid,romance,"A young mermaid makes a deal with a sea witch, to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.",Rob Marshall,Halle Bailey,Jonah Hauer-King,Melissa McCarthy
tt15333984,Somebody I Used to Know,romance,"On a trip to her hometown, workaholic Ally reminisces with her ex Sean and starts to question everything about the person she's become. Things only get more confusing when she meets Cassidy, who reminds her of the person she used to be.",Dave Franco,Alison Brie,Jay Ellis,Kiersey Clemons
tt0120338,Titanic,romance,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane
tt6718170,The Super Mario Bros. Movie,romance,The story of The Super Mario Bros. on their journey through the Mushroom Kingdom,"Aaron Horvath, 
Michael Jelenic",Chris Pratt,Anya Taylor-Joy,Charlie Day
tt14826022,You People,romance,"Follows a new couple and their families, who find themselves examining modern love and family dynamics amidst clashing cultures, societal expectations and generational differences.",Kenya Barris,Jonah Hill,Lauren London,Eddie Murphy
tt14402146,Empire of Light,romance,"A drama about the power of human connection during turbulent times, set in an English coastal town in the early 1980s.",Sam Mendes,Olivia Colman,Micheal Ward,Colin Firth
tt14596320,Spin Me Round,romance,"\"A woman wins an all-expenses-paid trip to a company's gorgeous \"\"institute\"\" outside of Florence","and also the chance to meet the restaurant chain's wealthy and charismatic owner. She finds a different adventure than the one she imagined.\"",/name/nm1337885/,"",""
tt3774694,Love,romance,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.",Gaspar Noé,Aomi Muyock,Karl Glusman,Klara Kristin
tt9411972,Where the Crawdads Sing,romance,A woman who raised herself in the marshes of the Deep South becomes a suspect in the murder of a man with whom she was once involved.,Olivia Newman,Daisy Edgar-Jones,Taylor John Smith,Harris Dickinson
tt13430858,What's Love Got to Do with It?,romance,"In London, an award-winning film-maker documents her best friend's journey into an assisted marriage in line with his family's Pakistani heritage. In the process, she challenges her own attitude towards relationships.",Shekhar Kapur,Lily James,Emma Thompson,Shazad Latif
tt10648342,Thor: Love and Thunder,romance,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",Taika Waititi,Chris Hemsworth,Natalie Portman,Christian Bale
tt9686790,Shotgun Wedding,romance,Darcy and Tom gather their families for the ultimate destination wedding but when the entire wedding party is taken hostage the bride and groom must save their loved ones--if they don't kill each other first.,Jason Moore,Jennifer Lopez,Josh Duhamel,Lenny Kravitz
tt12374656,Emily,romance,"\"\"\"Emily\"\" imagines the transformative",exhilarating,one of the world's most famous,"",""
tt1655389,Blonde,romance,"The story of American actress Marilyn Monroe, covering her love and professional lives.",Andrew Dominik,Ana de Armas,Lily Fisher,Julianne Nicholson
tt1517268,Barbie,romance,To live in Barbie Land is to be a perfect being in a perfect place. Unless you have a full-on existential crisis. Or you're a Ken.,Greta Gerwig,Margot Robbie,Helen Mirren,Ryan Gosling
tt0119217,Good Will Hunting,romance,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Gus Van Sant,Robin Williams,Matt Damon,Ben Affleck
tt0109830,Forrest Gump,romance,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise
tt0077631,Grease,romance,"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?",Randal Kleiser,John Travolta,Olivia Newton-John,Stockard Channing
tt15486810,Teen Wolf: The Movie,romance,"A terrifying evil has emerged. The wolves howl once again, but only a Werewolf like Scott McCall, can gather both new allies and reunite trusted friends to fight back against what could be the most powerful and deadliest enemy.",Russell Mulcahy,Tyler Posey,Crystal Reed,Holland Roden
tt2322441,Fifty Shades of Grey,romance,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",Sam Taylor-Johnson,Dakota Johnson,Jamie Dornan,Jennifer Ehle
tt10168670,Bones and All,romance,"Maren, a young woman, learns how to survive on the margins of society.",Luca Guadagnino,Timothée Chalamet,Taylor Russell,Mark Rylance
tt0120783,The Parent Trap,romance,"Identical twins Annie and Hallie, separated at birth and each raised by one of their biological parents, discover each other for the first time at summer camp and make a plan to bring their wayward parents back together.",Nancy Meyers,Lindsay Lohan,Dennis Quaid,Natasha Richardson
tt0316396,Peter Pan,romance,"The Darling family children receive a visit from Peter Pan, who takes them to Never Never Land where an ongoing war with the evil Pirate Captain Hook is taking place.",P.J. Hogan,Jeremy Sumpter,Jason Isaacs,Olivia Williams
tt14109724,Ticket to Paradise,romance,A divorced couple teams up and travels to Bali to stop their daughter from making the same mistake they think they made 25 years ago.,Ol Parker,George Clooney,Sean Lynch,Julia Roberts
tt1343092,The Great Gatsby,romance,"A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby.",Baz Luhrmann,Leonardo DiCaprio,Carey Mulligan,Joel Edgerton
tt12477480,Decision to Leave,romance,A detective investigating a man's death in the mountains meets the dead man's mysterious wife in the course of his dogged sleuthing.,Park Chan-wook,Park Hae-il,Tang Wei,Lee Jung-hyun
tt3281548,Little Women,romance,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",Greta Gerwig,Saoirse Ronan,Emma Watson,Florence Pugh
tt3783958,La La Land,romance,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",Damien Chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt
tt1758830,This Is 40,romance,"Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart.",Judd Apatow,Paul Rudd,Leslie Mann,Maude Apatow
tt26548664,Tonight You're Sleeping with Me,romance,"Stuck in a passionless marriage, a journalist must choose between her distant but loving husband and a younger ex-boyfriend who has reentered her life.",Robert Wichrowski,Roma Gasiorowska,Wojciech Zielinski,Maciej Musial
tt0338013,Eternal Sunshine of the Spotless Mind,romance,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.",Michel Gondry,Jim Carrey,Kate Winslet,Tom Wilkinson
tt0414387,Pride & Prejudice,romance,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",Joe Wright,Keira Knightley,Matthew Macfadyen,Brenda Blethyn
tt0093779,The Princess Bride,romance,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",Rob Reiner,Cary Elwes,Mandy Patinkin,Robin Wright
tt13320622,The Lost City,romance,A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.,"Aaron Nee, 
Adam Nee",Sandra Bullock,Channing Tatum,Daniel Radcliffe
tt0112697,Clueless,romance,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.",Amy Heckerling,Alicia Silverstone,Stacey Dash,Brittany Murphy
tt13238346,Past Lives,romance,"Nora and Hae Sung, two deeply connected childhood friends, are wrest apart after Nora's family emigrates from South Korea. 20 years later, they are reunited for one fateful week as they confront notions of love and destiny.",Celine Song,Greta Lee,Teo Yoo,John Magaro
tt0448694,Puss in Boots,romance,"An outlaw cat, his childhood egg-friend, and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear his name, restore his lost honor, and regain the trust of his mother and town.",Chris Miller,Antonio Banderas,Salma Hayek,Zach Galifianakis
tt0309987,The Dreamers,romance,A young American studying in Paris in 1968 strikes up a friendship with a French brother and sister. Set against the background of the '68 Paris student riots.,Bernardo Bertolucci,Michael Pitt,Louis Garrel,Eva Green
tt0446029,Scott Pilgrim vs. the World,romance,"In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",Edgar Wright,Michael Cera,Mary Elizabeth Winstead,Kieran Culkin
tt20879602,Maybe I Do,romance,"Michelle and Allen are in a relationship. They decide to invite their parents to finally meet about marriage. Turns out, the parents already know one another well, which leads to some differing opinions about marriage.",Michael Jacobs,Mezi Atwood,Kevin D. Benton,Luke Bracey
tt0088128,Sixteen Candles,romance,"\"A girl's \"\"sweet\"\" sixteenth birthday is anything but special: her family forgets about it","and she suffers from every embarrassment possible.\"",/name/nm0000455/,"",""
tt4080728,A Man Called Ove,romance,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",Hannes Holm,Rolf Lassgård,Bahar Pars,Filip Berg
tt14369780,Lady Chatterley's Lover,romance,An unhappily married aristocrat begins a torrid affair with the gamekeeper on her husband's country estate.,Laure de Clermont-Tonnerre,Emma Corrin,Jack O'Connell,Matthew Duckett
tt0054698,Breakfast at Tiffany's,romance,"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.",Blake Edwards,Audrey Hepburn,George Peppard,Patricia Neal
tt5726616,Call Me by Your Name,romance,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",Luca Guadagnino,Timothée Chalamet,Armie Hammer,Michael Stuhlbarg
tt0108399,True Romance,romance,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.",Tony Scott,Christian Slater,Patricia Arquette,Dennis Hopper
tt0332280,The Notebook,romance,"A poor yet passionate young man (Ryan Gosling) falls in love with a rich young woman (Rachel McAdams), giving her a sense of freedom, but they are soon separated because of their social differences.",Nick Cassavetes,Gena Rowlands,James Garner,Rachel McAdams
tt1099212,Twilight,romance,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.",Catherine Hardwicke,Kristen Stewart,Robert Pattinson,Billy Burke
tt10886166,365 Days,romance,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.","Barbara Bialowas, 
Tomasz Mandes",Anna-Maria Sieklucka,Michele Morrone,Bronislaw Wroclawski
