movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt9114286,Black Panther: Wakanda Forever,2022,PG-13,161 min,thriller,6.9,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.,Ryan Coogler,/name/nm3363032/,"Letitia Wright, 
Lupita Nyong'o, 
Danai Gurira, 
Winston Duke","/name/nm4004793/,/name/nm2143282/,/name/nm1775091/,/name/nm6328300/",204835.0,""
tt15679400,Knock at the Cabin,2023,R,100 min,thriller,6.4,"While vacationing, a girl and her parents are taken hostage by armed strangers who demand that the family make a choice to avert the apocalypse.",M. Night Shyamalan,/name/nm0796117/,"Dave Bautista, 
Jonathan Groff, 
Rupert Grint, 
Nikki Amuka-Bird","/name/nm1176985/,/name/nm2676147/,/name/nm0342488/,/name/nm0025458/",17991.0,""
tt5884796,Plane,2023,R,107 min,thriller,6.5,A pilot finds himself caught in a war zone after he's forced to land his commercial aircraft during a terrible storm.,Jean-François Richet,/name/nm0724938/,"Gerard Butler, 
Mike Colter, 
Tony Goldwyn, 
Yoson An","/name/nm0124930/,/name/nm1591496/,/name/nm0001282/,/name/nm5256788/",26220.0,""
tt9764362,The Menu,2022,R,107 min,thriller,7.2,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",Mark Mylod,/name/nm0617042/,"Ralph Fiennes, 
Anya Taylor-Joy, 
Nicholas Hoult, 
Hong Chau","/name/nm0000146/,/name/nm5896355/,/name/nm0396558/,/name/nm2186865/",232052.0,""
tt5433140,Fast X,2023,"","",thriller,"",Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,Louis Leterrier,/name/nm0504642/,"Vin Diesel, 
Jordana Brewster, 
Tyrese Gibson, 
Michelle Rodriguez","/name/nm0004874/,/name/nm0108287/,/name/nm0879085/,/name/nm0735442/","",""
tt8760708,M3GAN,2022,PG-13,102 min,thriller,6.4,A robotics engineer at a toy company builds a life-like doll that begins to take on a life of its own.,Gerard Johnstone,/name/nm2067421/,"Allison Williams, 
Violet McGraw, 
Ronny Chieng, 
Amie Donald","/name/nm4129745/,/name/nm8627157/,/name/nm5307044/,/name/nm13143634/",62458.0,""
tt10954600,Ant-Man and the Wasp: Quantumania,2023,PG-13,125 min,thriller,6.6,"Scott Lang and Hope Van Dyne, along with Hank Pym and Janet Van Dyne, explore the Quantum Realm, where they interact with strange creatures and embark on an adventure that goes beyond the limits of what they thought was possible.",Peyton Reed,/name/nm0715636/,"Paul Rudd, 
Evangeline Lilly, 
Jonathan Majors, 
Kathryn Newton","/name/nm0748620/,/name/nm1431940/,/name/nm3718007/,/name/nm1105980/",5396.0,""
tt12593682,Bullet Train,2022,R,127 min,thriller,7.3,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,David Leitch,/name/nm0500610/,"Brad Pitt, 
Joey King, 
Aaron Taylor-Johnson, 
Brian Tyree Henry","/name/nm0000093/,/name/nm1428821/,/name/nm1093951/,/name/nm3109964/",293635.0,""
tt11564570,Glass Onion,2022,PG-13,139 min,thriller,7.2,Famed Southern detective Benoit Blanc travels to Greece for his latest case.,Rian Johnson,/name/nm0426059/,"Daniel Craig, 
Edward Norton, 
Kate Hudson, 
Dave Bautista","/name/nm0185819/,/name/nm0001570/,/name/nm0005028/,/name/nm1176985/",333315.0,""
tt13051810,Viking Wolf,2022,TV-MA,97 min,thriller,5.1,"Thale (17) has just moved with her parents to a small town after her mother has a new job in the local police. After a student is killed brutally at a party Thale attends, she becomes a key witness. Was the killer an animal? A wolf?",Stig Svendsen,/name/nm1457169/,"Liv Mjönes, 
Elli Rhiannon Müller Osborne, 
Arthur Hakalahti, 
Sjur Vatne Brean","/name/nm1203571/,/name/nm9602953/,/name/nm7416233/,/name/nm8447868/",3872.0,""
tt10365998,Infinity Pool,2023,R,117 min,thriller,6.5,"James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa, when a fatal accident exposes the resort's perverse subculture of hedonistic tourism, reckless violence and surreal horrors.",Brandon Cronenberg,/name/nm0188722/,"Alexander Skarsgård, 
Mia Goth, 
Cleopatra Coleman, 
Dunja Sepcic","/name/nm0002907/,/name/nm5301405/,/name/nm1671147/,/name/nm0091841/",6955.0,""
tt17663992,Scream VI,2023,"",123 min,thriller,"","In the next installment, the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City.","Matt Bettinelli-Olpin, 
Tyler Gillett",/name/nm2366012/,"Melissa Barrera, 
Courteney Cox, 
Jenna Ortega, 
Jasmin Savoy Brown","/name/nm2419470/,/name/nm4574440/,/name/nm0001073/,/name/nm4911194/,/name/nm5506401/","",""
tt14209916,Cocaine Bear,2023,R,95 min,thriller,"","An oddball group of cops, criminals, tourists, and teens converges in a Georgia forest where a 500-pound black bear goes on a murderous rampage after unintentionally ingesting cocaine.",Elizabeth Banks,/name/nm0006969/,"Ray Liotta, 
Keri Russell, 
Margo Martindale, 
Alden Ehrenreich","/name/nm0000501/,/name/nm0005392/,/name/nm0553269/,/name/nm2403277/","",""
tt14138650,The Pale Blue Eye,2022,R,128 min,thriller,6.6,"A world-weary detective is hired to investigate the murder of a West Point cadet. Stymied by the cadets' code of silence, he enlists one of their own to help unravel the case - a young man the world would come to know as Edgar Allan Poe.",Scott Cooper,/name/nm0178376/,"Christian Bale, 
Harry Melling, 
Simon McBurney, 
Timothy Spall","/name/nm0000288/,/name/nm0577982/,/name/nm0564402/,/name/nm0001758/",85087.0,""
tt12844910,Pathaan,2023,Not Rated,146 min,thriller,6.6,An Indian spy takes on the leader of a group of mercenaries who have nefarious plans to target his homeland.,Siddharth Anand,/name/nm1893457/,"Shah Rukh Khan, 
Deepika Padukone, 
John Abraham, 
Dimple Kapadia","/name/nm0451321/,/name/nm2138653/,/name/nm1303433/,/name/nm0438092/",120080.0,""
tt13560574,X,2022,R,105 min,thriller,6.6,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",Ti West,/name/nm1488800/,"Mia Goth, 
Jenna Ortega, 
Brittany Snow, 
Kid Cudi","/name/nm5301405/,/name/nm4911194/,/name/nm0811242/,/name/nm3264596/",113560.0,""
tt11687104,"Alice, Darling",2022,R,89 min,thriller,5.4,A young woman trapped in an abusive relationship becomes the unwitting participant in an intervention staged by her two closest friends.,Mary Nighy,/name/nm1310861/,"Anna Kendrick, 
Kaniehtiio Horn, 
Charlie Carrick, 
Wunmi Mosaku","/name/nm0447695/,/name/nm1503416/,/name/nm2901686/,/name/nm2148911/",2903.0,""
tt15486810,Teen Wolf: The Movie,2023,TV-MA,140 min,thriller,5.6,"A terrifying evil has emerged. The wolves howl once again, but only a Werewolf like Scott McCall, can gather both new allies and reunite trusted friends to fight back against what could be the most powerful and deadliest enemy.",Russell Mulcahy,/name/nm0611683/,"Tyler Posey, 
Crystal Reed, 
Holland Roden, 
Tyler Hoechlin","/name/nm0692677/,/name/nm3706952/,/name/nm1555699/,/name/nm0388382/",9026.0,""
tt13280054,Blood,2022,"",108 min,thriller,5.3,"Jess, a separated mother and nurse, moves with her daughter and young son Owen back into her old farmhouse. Shortly after settling in, Owen is bitten by the dog, resulting in a mysterious infection from the bite.",Brad Anderson,/name/nm0026442/,"Michelle Monaghan, 
Skeet Ulrich, 
Finlay Wojtak-Hissong, 
June B. Wilde","/name/nm1157358/,/name/nm0000240/,/name/nm9840989/,/name/nm0672413/",1229.0,""
tt15789492,Infiesto,2023,TV-MA,96 min,thriller,5.5,"Two detectives are called to a small mining town in the Asturian mountains where a young woman who had been left for dead for months has suddenly appeared, leaving the detectives to question what dark forces are at work.",Patxi Amezcua,/name/nm0025538/,"Isak Férriz, 
Iria del Río, 
Antonio Buíl, 
Juan Fernández","/name/nm1929945/,/name/nm4170579/,/name/nm0125663/,/name/nm1537814/",2081.0,""
tt10304142,Amsterdam,2022,R,134 min,thriller,6.1,"In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history.",David O. Russell,/name/nm0751102/,"Christian Bale, 
Margot Robbie, 
John David Washington, 
Alessandro Nivola","/name/nm0000288/,/name/nm3053338/,/name/nm0913475/,/name/nm0005273/",65277.0,""
tt1877830,The Batman,2022,PG-13,176 min,thriller,7.8,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",Matt Reeves,/name/nm0716257/,"Robert Pattinson, 
Zoë Kravitz, 
Jeffrey Wright, 
Colin Farrell","/name/nm1500155/,/name/nm2368789/,/name/nm0942482/,/name/nm0268199/",672146.0,""
tt21448540,Baby Ruby,2022,"",93 min,thriller,4.9,"The tightly scripted world of a vlogger and influencer unravels after she becomes a mother, in noted playwright Bess Wohl's feature debut.",Bess Wohl,/name/nm0937384/,"Noémie Merlant, 
Kit Harington, 
Meredith Hagner, 
Reed Birney","/name/nm4374524/,/name/nm3229685/,/name/nm2993517/,/name/nm0083714/",799.0,""
tt9411972,Where the Crawdads Sing,2022,PG-13,125 min,thriller,7.2,A woman who raised herself in the marshes of the Deep South becomes a suspect in the murder of a man with whom she was once involved.,Olivia Newman,/name/nm3229507/,"Daisy Edgar-Jones, 
Taylor John Smith, 
Harris Dickinson, 
David Strathairn","/name/nm8402992/,/name/nm4973896/,/name/nm6170168/,/name/nm0000657/",81563.0,""
tt8946378,Knives Out,2019,PG-13,130 min,thriller,7.9,"A detective investigates the death of the patriarch of an eccentric, combative family.",Rian Johnson,/name/nm0426059/,"Daniel Craig, 
Chris Evans, 
Ana de Armas, 
Jamie Lee Curtis","/name/nm0185819/,/name/nm0262635/,/name/nm1869101/,/name/nm0000130/",705622.0,165359751.0
