title,year,runtime,genre,rating,director,writer,actor1,actor2,actor3,actor4,plot,tags,split,synopsis_source
Seven Chances,1925,56,Comedy,7.8,Buster Keaton,Roi Cooper Megrue,Buster Keaton,Snitz Edwards,Erwin Connelly,T. Roy Barnes,"Jimmy Shannon (Buster Keaton) is the junior partner in the brokerage firm of Meekin and Shannon, which is on the brink of financial ruin. A lawyer (whom they dodged, mistakenly believing he was trying to add to their woes) finally manages to inform Jimmy of the terms of his grandfather's will. He will inherit seven million dollars if he is married by 7:00 p.m. on his 27th birthday, which happens to be that same day.","","",""
The Man Who Laughs,1928,110,Drama,7.6,Paul Leni,Victor Hugo,George Siegmann,Conrad Veidt,Conrad Veidt,Sam De Grasse,"In late 17th-century England, a homeless boy named Gwynplaine rescues an infant girl during a snowstorm, her mother having frozen to death whilst feeding her. They meet an itinerant carnival vendor who calls himself Ursus, and his pet wolf, Homo. Gwynplaine's mouth has been mutilated into a perpetual grin; Ursus is initially horrified, then moved to pity, and he takes them in. Fifteen years later, Gwynplaine has grown into a strong young man, attractive except for his distorted visage. The girl, now named Dea, is blind, and has grown into a beautiful and innocent young woman. By touching his face, Dea concludes that Gwynplaine is perpetually happy. They fall in love. Ursus and his surrogate children earn a meagre living in the fairs of southern England. Gwynplaine keeps the lower half of his face concealed. In each town, Gwynplaine gives a stage performance in which the crowds are provoked to laughter when Gwynplaine reveals his grotesque face.","","",""
Tabu: A Story of the South Seas,1931,86,Drama,7.4,F.W. Murnau,F.W. Murnau,Ah Fong,Bill Bambridge,Jules,Hitu,"\"Aged emissary Hitu arrives by Western sailing ship to the island of Bora Bora, a small island in the South Pacific, on an important mission. He bears a message from the chief of Fanuma to the chief of Bora Bora: a maiden sacred to their gods has died, and Reri has been given the great honour of replacing her because of her royal blood and virtue. From this point on, she is tabu: \"\"man must not touch her or cast upon her the eye of desire\"\" upon penalty of death. This is painful news to Reri and the young man Matahi",who love each other. Matahi cannot bear it. That night,he sneaks her off the ship,and the couple escape the island by outrigger canoe.
"20,000 Years in Sing Sing",1932,78,Drama,6.8,Michael Curtiz,Lewis E. Lawes,Louis Calhern,Warren Hymer,Spencer Tracy,Ward Bond,"Cocky Tommy Connors (Spencer Tracy) is sentenced from 5 to 30 years in Sing Sing for robbery and assault with a deadly weapon. His associate, Joe Finn (Louis Calhern), promises to use his contacts and influence to get him freed long before that, but his attempt to bribe the warden to provide special treatment is met with disdain and failure.","","",""
Ladies They Talk About,1933,69,Drama,6.6,Howard Bretherton,Brown Holmes,Harold Huber,Lyle Talbot,Preston Foster,Jack Baxley,"Nan Taylor (Barbara Stanwyck) is a member of a gang of bank robbers, posing as an regular customer to distract the security guard while her accomplices take the money. Her cover is blown by a policeman who had arrested her before, and she is arrested. Reform-minded radio star David Slade (Preston Foster) falls in love with her and gets her released as a favor from District Attorney Simpson (Robert McWade). However, when she confesses that she is guilty, Simpson has her imprisoned.","","",""
The Scarlet Letter,1934,69,Drama,5.4,Robert G. Vignola,Nathaniel Hawthorne,Henry B. Walthall,Hardie Albright,William Kent,Al O. Henderson,"\"In June 1642, in the Puritan town of Boston, a crowd gathers to witness the punishment of Hester Prynne, a young woman found guilty of adultery. She is required to wear a scarlet \"\"A\"\" (\"\"A\"\" standing for adulteress) on her dress to shame her. She must stand on the scaffold for three hours",to be exposed to public humiliation. As Hester approaches the scaffold,many of the women in the crowd are angered by her beauty and quiet dignity. When demanded and cajoled to name the father of her child,Hester refuses.
Bordertown,1935,90,Drama,6.6,Archie Mayo,Laird Doyle,Gavin Gordon,Robert Barrat,Arthur Stone,Hobart Cavanaugh,The opening titles explain that American corporations are using the North American Free Trade Agreement by opening large maquiladoras right across the United States–Mexico border. The maquiladoras hire mostly Mexican women to work long hours for little money in order to produce mass quantity products.,"","",""
After the Thin Man,1936,112,Comedy,7.6,W.S. Van Dyke,Frances Goodrich,James Stewart,Sam Levene,Teddy Hart,Joseph Calleia,"\"This is the second installment of the Thin Man series, the story picks up from where \"\"The Thin Man\"\" left Nick and Nora.Arriving home after three days on the train",Nick and Nora were looking forward to spending a quiet new year with just each other. But their house was occupied by drunken friends; and Nora's most uppity relative,the spinster Aunt Katherine,called and insisted that Nora and Nick join her New Year's Eve family dinner. Nora did not care for her aunt but she agreed to go
Born to Dance,1936,106,Comedy,6.7,Roy Del Ruth,Jack McGowan,James Stewart,Alan Dinehart,Raymond Walburn,Sid Silvers,"\"The film's plot involves three submarine mates, Ted Barker (James Stewart), Gunny Saks (Sid Silvers), and Mush Tracy (Buddy Ebsen), arriving in New York City after four years at sea. The film opens as their sub reaches New York harbor with the sailors singing \"\"Rolling Home.\"\" Featured in the number are Gunny",Mush,Ted and a quartet called The Foursome.,""
The Ex-Mrs. Bradford,1936,82,Comedy,6.9,Stephen Roberts,Anthony Veiller,Ralph Morgan,Eric Blore,Robert Armstrong,James Gleason,"\"Wealthy murder mystery writer Paula Bradford (Jean Arthur) returns from her worldwide travels to see her former husband, surgeon Dr. Lawrence \"\"Brad\"\" Bradford (William Powell). He had divorced her because she was always involving him in real-life murder cases",but she wants him back. When a jockey riding the favorite dies while leading a race,she is convinced it was murder. She and Mike North (Frank M. Thomas),the horse's trainer
